variant,feasible,score,rank,vpub,c0,kcash,readiness,resilience,scale,margin:STRESS:c0_limit,z_vpub,z_c0,z_kcash,z_readiness,z_resilience,z_scale,z_margin:STRESS:c0_limit
AGRI:A|INFRA:B|TRANS:B|ENV:A,True,0.5682502737803777,46,1016.4,1127.0,1.1585365853658536,4.475,4.175,4.7,53.0,0.040650406504065026,0.9375,0.6352750862684635,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.9375
FLOOD:B|AGRI:B|TRANS:A|ENV:A,True,0.5679023798113272,47,1260.6,1156.5,1.1111111111111112,4.45,4.225,4.6,23.5,0.7024390243902435,0.4107142857142857,0.5299473404378862,0.6249999999999994,1.0,0.12499999999999722,0.4107142857142857
FIRE:C|AGRI:A|TRANS:B|ENV:A,True,0.563661311170392,48,1117.6,1130.6,0.991889699918897,4.525,4.05,4.675,49.40000000000009,0.31490514905149025,0.8732142857142873,0.26516722610174764,1.0,0.6111111111111113,0.4999999999999978,0.8732142857142874
FIRE:C|AGRI:A|TRANS:C|ENV:A,True,0.5627505448389815,49,1073.6,1125.6,1.029532403609516,4.525,4.05,4.675,54.40000000000009,0.19566395663956615,0.9625000000000016,0.34876831157333427,1.0,0.6111111111111113,0.4999999999999978,0.9625000000000016
AGRI:B|INFRA:A|TRANS:A|ENV:B,True,0.5592297839019188,50,1003.8,1128.0,1.175609756097561,4.475,4.175,4.7,52.0,0.006504065040650343,0.9196428571428571,0.6731930747674716,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.9196428571428571
FLOOD:A|AGRI:A|TRANS:B|ENV:A,True,0.5554801080655228,51,1370.4,1174.0,1.0403726708074534,4.45,4.225,4.6,6.0,1.0,0.0982142857142857,0.3728435775796775,0.6249999999999994,1.0,0.12499999999999722,0.09821428571428571
FLOOD:A|AGRI:A|TRANS:C|ENV:A,True,0.5542054574193266,52,1326.4,1169.0,1.0769230769230769,4.45,4.225,4.6,11.0,0.8807588075880759,0.1875,0.4540187676193596,0.6249999999999994,1.0,0.12499999999999722,0.1875
FLOOD:B|AGRI:A|TRANS:B|ENV:A,True,0.5518903927322334,53,1262.3999999999999,1157.0,1.0653543307086615,4.45,4.225,4.6,23.0,0.7073170731707312,0.4017857142857143,0.4283256147305711,0.6249999999999994,1.0,0.12499999999999722,0.4017857142857143
FLOOD:B|AGRI:A|TRANS:C|ENV:A,True,0.5508830074452122,54,1218.3999999999999,1152.0,1.1027070063694266,4.45,4.225,4.6,28.0,0.5880758807588071,0.4910714285714286,0.5112825738314208,0.6249999999999994,1.0,0.12499999999999722,0.49107142857142855
FIRE:C|AGRI:A|TRANS:A|ENV:B,True,0.5431076644344428,55,1092.4,1129.1,0.9715909090909091,4.525,4.05,4.675,50.90000000000009,0.24661246612466148,0.9000000000000016,0.2200854232395534,1.0,0.6111111111111113,0.4999999999999978,0.9000000000000016
AGRI:A|INFRA:A|TRANS:B|ENV:B,True,0.5427174118061416,56,1005.5999999999999,1128.5,1.1283509341998375,4.475,4.175,4.7,51.5,0.011382113821138023,0.9107142857142857,0.568235448948934,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.9107142857142857
FLOOD:A|AGRI:A|TRANS:A|ENV:B,True,0.5352279969366712,57,1345.2,1172.5,1.020979020979021,4.45,4.225,4.6,7.5,0.9317073170731707,0.125,0.329772012098135,0.6249999999999994,1.0,0.12499999999999722,0.125
FLOOD:B|AGRI:A|TRANS:A|ENV:B,True,0.5315531981351174,58,1237.1999999999998,1155.5,1.045705279747833,4.45,4.225,4.6,24.5,0.6390243902439018,0.4285714285714286,0.3846868261272658,0.6249999999999994,1.0,0.12499999999999722,0.42857142857142855
AGRI:C|INFRA:A|TRANS:A|ENV:A,True,0.5268324964369528,59,1022.6,1136.8,1.1504065040650406,4.475,4.175,4.7,43.200000000000045,0.05745257452574536,0.7625000000000008,0.6172189012689361,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.7625000000000008
FIRE:C|AGRI:A|TRANS:A|ENV:C,True,0.5157503563730989,60,1020.4,1123.5,0.990139687756779,4.525,4.05,4.675,56.5,0.05149051490514903,1.0,0.26128060526962066,1.0,0.6111111111111113,0.4999999999999978,1.0
AGRI:B|INFRA:A|TRANS:A|ENV:A,True,0.5155279953633989,61,1068.6,1142.0,1.0738955823293173,4.475,4.175,4.7,38.0,0.18211382113821115,0.6696428571428572,0.44729497231555043,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.6696428571428571
FLOOD:A|AGRI:A|TRANS:A|ENV:C,True,0.5077975242316037,62,1273.2,1166.9,1.0393081761006289,4.45,4.225,4.6,13.099999999999909,0.7365853658536585,0.22499999999999842,0.3704794298367121,0.6249999999999994,1.0,0.12499999999999722,0.22499999999999837
FLOOD:B|AGRI:A|TRANS:A|ENV:C,True,0.5043089043450896,63,1165.1999999999998,1149.9,1.0645933014354068,4.45,4.225,4.6,30.09999999999991,0.4439024390243897,0.5285714285714269,0.42663543663277415,0.6249999999999994,1.0,0.12499999999999722,0.5285714285714269
AGRI:A|INFRA:B|TRANS:A|ENV:A,True,0.5041460396175901,64,1056.0,1139.5,1.0369774919614148,4.475,4.175,4.7,40.5,0.14796747967479676,0.7142857142857143,0.365303188365559,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.7142857142857143
FIRE:C|AGRI:A|TRANS:A|ENV:A,True,0.500277777777778,65,1157.2,1143.1,0.8724939855653568,4.525,4.05,4.675,36.90000000000009,0.4222222222222223,0.6500000000000017,0.0,1.0,0.6111111111111113,0.4999999999999978,0.6500000000000016
AGRI:A|INFRA:A|TRANS:B|ENV:A,True,0.4992323482864496,66,1070.4,1142.5,1.0272873194221508,4.475,4.175,4.7,37.5,0.18699186991869943,0.6607142857142857,0.3437821799558651,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.6607142857142857
AGRI:A|INFRA:A|TRANS:C|ENV:A,True,0.4983232615706429,67,1026.4,1137.5,1.0649350649350648,4.475,4.175,4.7,42.5,0.06775067750677535,0.75,0.42739446286481136,0.7499999999999967,0.8888888888888892,0.6249999999999994,0.75
FLOOD:C|AGRI:C|TRANS:A|ENV:A,True,0.497475264295041,68,1094.6,1144.5,1.1440129449838188,4.45,4.225,4.6,35.5,0.2525745257452572,0.625,0.6030193771430941,0.6249999999999994,1.0,0.12499999999999722,0.625
FLOOD:B|AGRI:A|TRANS:A|ENV:A,True,0.48938617825608677,69,1302.0,1169.5,0.9485981308411215,4.45,4.225,4.6,10.5,0.8146341463414632,0.1785714285714286,0.16902051473860624,0.6249999999999994,1.0,0.12499999999999722,0.17857142857142858
FIRE:A|AGRI:C|INFRA:B|TRANS:A,True,0.48932218618877904,70,1168.6,1163.3,1.265923566878981,4.449999999999999,4.0,4.65,16.700000000000045,0.4531165311653113,0.28928571428571515,0.8737719884517147,0.624999999999995,0.5000000000000004,0.37500000000000056,0.2892857142857151
FLOOD:C|AGRI:B|TRANS:A|ENV:A,True,0.48631854936484537,71,1140.6,1149.7,1.067945643485212,4.45,4.225,4.6,30.299999999999955,0.37723577235772326,0.5321428571428564,0.43408068914543035,0.6249999999999994,1.0,0.12499999999999722,0.5321428571428564
FIRE:A|AGRI:C|INFRA:A|TRANS:B,True,0.4843180315628147,72,1183.0,1166.3,1.2559618441971383,4.449999999999999,4.0,4.65,13.700000000000045,0.492140921409214,0.23571428571428654,0.8516478914098616,0.624999999999995,0.5000000000000004,0.37500000000000056,0.23571428571428651
